,experience,train,epoch,itrs,loss,accuracy
0,base_cnn,0,1,2000,2.188426803648472,0
1,base_cnn,1,1,2000,2.024263069629669,0
2,base_cnn,0,1,4000,1.849628312110901,0
3,base_cnn,1,1,4000,1.8171695375442505,0
4,base_cnn,0,1,6000,1.6573419681787491,0
5,base_cnn,1,1,6000,1.8862162184715272,0
6,base_cnn,0,1,8000,1.5621788248717785,0
7,base_cnn,1,1,8000,1.912047824859619,0
8,base_cnn,0,1,10000,1.511154423236847,0
9,base_cnn,1,1,10000,1.8219346261024476,0
10,base_cnn,0,1,12000,1.4580517301112415,0
11,base_cnn,1,1,12000,1.8964407229423523,0
12,base_cnn,0,2,2000,1.3835338605195284,0
13,base_cnn,1,2,2000,1.750953962802887,0
14,base_cnn,0,2,4000,1.3620299928933381,0
15,base_cnn,1,2,4000,1.7440721797943115,0
16,base_cnn,0,2,6000,1.3490543753653765,0
17,base_cnn,1,2,6000,1.6499418020248413,0
18,base_cnn,0,2,8000,1.2976504122316836,0
19,base_cnn,1,2,8000,1.7712247347831727,0
20,base_cnn,0,2,10000,1.2882425635308028,0
21,base_cnn,1,2,10000,1.7326684308052063,0
22,base_cnn,0,2,12000,1.2421534606814384,0
23,base_cnn,1,2,12000,1.7379883241653442,0
24,base_cnn_test,0,0,0,0.0,56.36
0,base_cnn_4epochs,0,1,2000,2.161974641829729,0
1,base_cnn_4epochs,1,1,2000,1.9456037044525147,0
2,base_cnn_4epochs,0,1,4000,1.788963256061077,0
3,base_cnn_4epochs,1,1,4000,1.8434057807922364,0
4,base_cnn_4epochs,0,1,6000,1.6595413078069687,0
5,base_cnn_4epochs,1,1,6000,1.8061339664459228,0
6,base_cnn_4epochs,0,1,8000,1.558947098493576,0
7,base_cnn_4epochs,1,1,8000,1.988347246646881,0
8,base_cnn_4epochs,0,1,10000,1.525039580911398,0
9,base_cnn_4epochs,1,1,10000,1.8435336542129517,0
10,base_cnn_4epochs,0,1,12000,1.4517758181095124,0
11,base_cnn_4epochs,1,1,12000,1.898811810016632,0
